"NARATIVE","ORD","LATITUDE","LONGITUDE"
"SECA NORTH AMERICA WEST COAST",9,30.556944444444,-121.791388888889
"SECA NORTH AMERICA WEST COAST",10,31.769722222222,-123.289444444444
"SECA NORTH AMERICA WEST COAST",11,32.366111111111,-123.845555555556
"SECA NORTH AMERICA WEST COAST",12,32.944166666667,-124.196388888889
"SECA NORTH AMERICA WEST COAST",13,33.67,-124.454166666667
"SECA NORTH AMERICA WEST COAST",14,34.524444444444,-125.281111111111
"SECA NORTH AMERICA WEST COAST",15,35.243888888889,-125.723055555556
"SECA NORTH AMERICA WEST COAST",16,35.733333333333,-126.314722222222
"SECA NORTH AMERICA WEST COAST",17,36.273611111111,-126.758333333333
"SECA NORTH AMERICA WEST COAST",18,37.026388888889,-127.121666666667
"SECA NORTH AMERICA WEST COAST",19,37.760833333333,-127.633888888889
"SECA NORTH AMERICA WEST COAST",20,38.418888888889,-127.883333333333
"SECA NORTH AMERICA WEST COAST",21,39.418055555556,-128.523055555556
"SECA NORTH AMERICA WEST COAST",22,40.313055555556,-128.762777777778
"SECA NORTH AMERICA WEST COAST",23,41.2275,-128.672777777778
"SECA NORTH AMERICA WEST COAST",24,42.213611111111,-129.010555555556
"SECA NORTH AMERICA WEST COAST",25,42.792777777778,-129.095
"SECA NORTH AMERICA WEST COAST",26,43.439444444444,-129.023888888889
"SECA NORTH AMERICA WEST COAST",27,44.411944444444,-128.689722222222
"SECA NORTH AMERICA WEST COAST",28,45.511944444444,-128.667222222222
"SECA NORTH AMERICA WEST COAST",29,46.183611111111,-128.816944444444
"SECA NORTH AMERICA WEST COAST",30,46.565277777778,-129.074722222222
"SECA NORTH AMERICA WEST COAST",31,47.665277777778,-131.261388888889
"SECA NORTH AMERICA WEST COAST",32,48.542222222222,-132.683333333333
"SECA NORTH AMERICA WEST COAST",33,48.963055555556,-133.246388888889
"SECA NORTH AMERICA WEST COAST",34,49.3775,-134.264166666667
"SECA NORTH AMERICA WEST COAST",35,50.031111111111,-135.316944444444
"SECA NORTH AMERICA WEST COAST",36,51.055,-136.7625
"SECA NORTH AMERICA WEST COAST",37,51.901111111111,-137.698333333333
"SECA NORTH AMERICA WEST COAST",38,52.753333333333,-138.337222222222
"SECA NORTH AMERICA WEST COAST",39,53.488888888889,-138.676666666667
"SECA NORTH AMERICA WEST COAST",40,53.6775,-138.814722222222
"SECA NORTH AMERICA WEST COAST",41,54.229166666667,-139.543888888889
"SECA NORTH AMERICA WEST COAST",42,54.656944444444,-139.938611111111
"SECA NORTH AMERICA WEST COAST",43,55.338333333333,-140.929166666667
"SECA NORTH AMERICA WEST COAST",44,56.12,-141.605
"SECA NORTH AMERICA WEST COAST",45,56.475555555556,-142.288611111111
"SECA NORTH AMERICA WEST COAST",46,56.621944444444,-142.815833333333
"SECA NORTH AMERICA WEST COAST",47,58.851111111111,-153.250833333333
"SECA NORTH AMERICA WEST COAST",101,58.851111111111,-155
"SECA NORTH AMERICA WEST COAST",102,61.5,-155
"SECA NORTH AMERICA WEST COAST",103,61.5,-127
"SECA NORTH AMERICA WEST COAST",104,32.541748,-116.035393
"SECA NORTH SEA",1,58.522389,-4
"SECA NORTH SEA",2,62,-4
"SECA NORTH SEA",3,62,7
"SECA NORTH SEA",4,59,12.588615
"SECA NORTH SEA",14,57.7355556,12.588615
"SECA NORTH SEA",15,57.7355556,10.592194
"SECA NORTH SEA",16,57.5,10.1
"SECA NORTH SEA",17,54.9,8.9
"SECA NORTH SEA",18,53,8.9
"SECA NORTH SEA",19,48.47,-1.23
"SECA NORTH SEA",20,48.47,-5.0833333
"SECA NORTH SEA",21,50.25,-5.0833333
"SECA NORTH SEA",22,52.180669,0
"SECA NORTH SEA",99,57.456771,-4.972172
